numero_noeud,type_attente,TIC,TIC_actuel
0,max,28717.000000,100000
0,moyenne,11470.704674,100000
1,max,22484.000000,100000
1,moyenne,7128.771765,100000
2,max,25258.000000,100000
2,moyenne,9470.935873,100000
3,max,26002.000000,100000
3,moyenne,9666.677744,100000
4,max,25745.000000,100000
4,moyenne,9478.123061,100000
5,max,49434.000000,100000
5,moyenne,12339.061783,100000
6,max,50199.000000,100000
6,moyenne,12377.537278,100000
7,max,50377.000000,100000
7,moyenne,12616.488218,100000
8,max,50551.000000,100000
8,moyenne,12473.760362,100000
9,max,50614.000000,100000
9,moyenne,12789.234964,100000
