numero_noeud,type_attente,TIC
0,max,50944.000000
0,moyenne,12674.012116
1,max,50241.000000
1,moyenne,12328.791700
2,max,49947.000000
2,moyenne,12401.797335
3,max,50582.000000
3,moyenne,12604.650039
4,max,24740.000000
4,moyenne,9102.982356
5,max,25731.000000
5,moyenne,9535.481597
6,max,25602.000000
6,moyenne,9676.426696
7,max,50088.000000
7,moyenne,12475.319127
8,max,26613.000000
8,moyenne,9874.223055
9,max,25022.000000
9,moyenne,9330.989239
