interval,type_valeur,valeur,TIC,nb_slot,nb_noeud
0:106683,Min,0.000000,10000,25,5
0:106683,Moyenne,0.480105,10000,25,5
0:106683,Max,1.000000,10000,25,5
106684:213366,Min,1.000000,10000,25,5
106684:213366,Moyenne,2.093745,10000,25,5
106684:213366,Max,3.000000,10000,25,5
213367:320049,Min,3.000000,10000,25,5
213367:320049,Moyenne,3.539224,10000,25,5
213367:320049,Max,4.000000,10000,25,5
320050:426732,Min,4.000000,10000,25,5
320050:426732,Moyenne,5.084840,10000,25,5
320050:426732,Max,6.000000,10000,25,5
426733:533415,Min,6.000000,10000,25,5
426733:533415,Moyenne,7.108061,10000,25,5
426733:533415,Max,15.000000,10000,25,5
